word,median,mean,count
woman,0.5843582761674204,0.5694373873940322,377
waitress,0.6464534560262923,0.6032695630648155,753
girl,0.7094552465925074,0.6605908646210211,255
lady,0.7181576721932652,0.6465703595042,331
daughter,0.7467056871159106,0.716594321066824,157
hostess,0.7518400343701495,0.6572062792159874,255
girls,0.7875618136150888,0.7138792551995383,129
salon,0.8057319463865953,0.7744787357152645,258
wife,0.8183227364623571,0.7617644200575802,315
mom,0.8519104769884278,0.7487452113697762,186
scottsdale,0.8700007973517303,0.891041462834368,4
store,0.9118664041914017,0.8928212385224366,795
dance,0.9167072809837359,0.8607632538354515,93
lovely,0.924574115066886,0.913448279558662,125
bathroom,0.9268732169175431,0.9105664344718714,182
min,0.932584274559288,0.9212721970607236,116
decor,0.9340634015445148,0.9293097517335628,278
mins,0.9347627843695674,0.9241938071186251,79
online,0.9360603730339973,0.9335207260243551,253
la,0.93843705884128,0.9421615415303894,73
patio,0.9391832546289649,0.9267633334846086,138
beautiful,0.941918390269627,0.9400515296429036,216
server,0.9490703853867581,0.9375458971753783,760
cocktail,0.951970814925039,0.9405879588578427,102
wo,0.9524432713200852,0.8785533405872498,547
dessert,0.9536326451801244,0.9440696113870207,361
massage,0.954624427250371,0.9189498624867026,48
shopping,0.9571925496335104,0.9374164244504962,219
miss,0.9575041907247197,0.9373336237796376,178
nails,0.9578440006118936,0.959413508374448,92
hair,0.958310885812352,0.9516124923803604,419
tea,0.9583200360857987,0.9420449639969894,259
shop,0.9588241937419192,0.9488738431980124,538
cute,0.958964155647101,0.956147174921004,184
appetizers,0.9590309005920356,0.9927846985689145,196
appointment,0.9606119249836748,0.9728077710697759,266
wings,0.9616062929023064,0.961606609308646,221
choices,0.9620428624566297,0.9565873157909215,212
location,0.9626485661305382,0.9589706334284717,750
kitchen,0.9631987637132183,0.9579573247535323,387
sweet,0.9632284875583011,0.9441600936946296,537
yummy,0.9632739876080243,0.9545435890627422,174
date,0.9633318429208734,0.9543751685644687,219
salad,0.9638032661064844,0.9656509530946121,809
ice,0.9644368236005343,0.948778529634023,255
vegetarian,0.9655741992490763,0.9643252477711485,167
pretty,0.965716028555015,0.962901054942777,1662
attentive,0.9662096724087019,0.9487087033937953,247
weekend,0.966404895548655,0.9624654329630595,228
