word,median,mean,count
samantha,0.01716316403076247,0.01716316403076247,2
ist,0.025229508016046034,0.03903688428367904,5
caroline,0.040889413443871585,0.03593626678412904,7
alicia,0.04115940823084875,0.04115940823084875,1
beth,0.10685145816842634,0.10685145816842634,1
christine,0.1296561160892288,0.5307385613635317,5
helen,0.13888061713387567,0.13888061713387567,2
repeats,0.148967096141764,0.32802579825328704,6
allison,0.15602701645784084,0.15602701645784084,1
veterinarian,0.21674065380015473,0.21674065380015473,2
katie,0.2227499980268034,0.30230023347059026,6
annie,0.23639834956109593,0.23639834956109593,1
3:00pm,0.2849691717886991,0.2849691717886991,2
emily,0.34388868492784996,0.34388868492784996,2
take-away,0.3689480544603595,0.3689480544603595,1
mumbling,0.3739712759892316,0.3739712759892316,1
was.\n\nthe,0.37778658670634396,0.9425834792594948,3
yada,0.38404948005611417,0.38404948005611417,2
lynn,0.3843672191532224,0.37581310706974186,11
disneyland,0.39560400837252896,0.39560400837252896,2
l,0.3990731810645664,0.8584097969537846,8
bee,0.4179345364291516,0.4179345364291516,1
judy,0.4330064503807216,0.4330064503807216,2
linda,0.4341243500886395,0.36460240310397035,28
\n\nlocated,0.43475341799028533,0.43475341799028533,1
highchair,0.4372094230153572,0.4372094230153572,1
thyme,0.4400543130635987,0.4400543130635987,1
bikini,0.44637589796562177,0.44637589796562177,2
causal,0.4466867861773266,0.4466867861773266,1
amanda,0.44771111441707406,0.521340507595183,22
hertz,0.44814868514259387,0.4795520395064042,74
8:30pm,0.46328687523684775,0.46328687523684775,2
spotting,0.4725440901880205,0.4725440901880205,1
fabrics,0.48685003806222266,0.48685003806222266,1
\n\nmenu,0.4868785746883664,0.4868785746883664,2
ill.,0.49200460473521795,0.49200460473521795,1
sarah,0.5000577916179643,0.6007608544277672,8
anne,0.5054484630400732,0.5733767969182603,15
putrid,0.5103823463216768,0.5103823463216768,2
17th,0.5183580589066872,0.5497336768123773,4
table.\n\ni,0.5202176158980234,0.5419792996584837,3
glittery,0.5205950861501359,0.5205950861501359,1
selfish,0.5247052807239065,0.5247052807239065,1
meaningful,0.5248719793504127,0.5248719793504127,1
e,0.5255747189919195,2.5689405829979974,65
butterflies,0.5256221511530109,0.5256221511530109,1
granddaughter,0.5271851617574274,0.5271851617574274,1
rosa,0.528198891156817,0.5487159939467198,6
300+,0.5284757547768807,0.5284757547768807,1
porn,0.5297630144912902,0.5631503104124911,4
blinking,0.5304973467364841,0.5721851014743096,4
kristin,0.5317427116626416,0.5604481949971081,4
twitter,0.5320452647442012,0.5320452647442012,1
restaurant.\n\nwe,0.5322515839303349,0.5322515839303349,1
thanking,0.5336747224021635,0.5336747224021635,1
approaches,0.5366634922015372,0.5366634922015372,1
seamstress,0.5371630494360852,0.7334944425080846,10
festivals,0.5374025341604411,0.5374025341604411,1
leans,0.5379788181335337,0.5379788181335337,2
hrid,0.544638174091607,0.544638174091607,1
rr,0.5496421457906664,0.6062514676347943,6
drop-off,0.5509585951056065,0.5853591334719275,3
amex,0.5518633842753433,0.5518633842753433,1
kate,0.5536821034035986,0.5536821034035986,1
dinner.\n\ni,0.5609133511684649,0.5609133511684649,1
\nfood,0.5656578061059755,0.6189312443236783,4
