word,median,mean,count
caroline,0.025360961057915472,0.09013331316763458,7
ist,0.09352263722913504,0.1843400959525423,5
mandy,0.11584957546612779,0.2878986461406605,3
sylvia,0.1344864404469904,0.1344864404469904,1
christine,0.13604766550503714,0.3719954414579144,5
megan,0.14217238635939428,0.13893882036084057,4
alicia,0.1473793542709587,0.1473793542709587,1
ms.,0.1790308407500226,0.1790308407500226,1
anna,0.1939519045138965,0.21972704479262087,6
gina,0.19886853540711016,0.19886853540711016,2
alice,0.2035206400736284,0.2035206400736284,2
julie,0.20499274651185717,0.33610292506917655,4
nora,0.21875845356991158,0.21875845356991158,1
emily,0.2291148278277915,0.2291148278277915,2
carol,0.24008591795857476,0.24008591795857476,2
brenda,0.27668729843448797,0.39227898609924444,5
carmen,0.29671408587939996,0.29671408587939996,2
madonna,0.31408685990695095,0.31408685990695095,1
donna,0.31779174433238405,0.31779174433238405,1
rosa,0.3211169931529233,0.3609544974067171,6
helen,0.3230313633940134,0.3230313633940134,2
veronica,0.33135588817993183,0.37505475373595437,3
specialize,0.3384416618085674,0.5322772737561833,3
tina,0.3386076161064818,0.3386076161064818,2
alexis,0.35065056884046836,0.35065056884046836,1
catherine,0.3809301303976041,0.3809301303976041,2
e,0.3817345626524602,0.46224281365193887,58
jill,0.39087250140109675,0.4018793242366934,6
judy,0.3928676244381837,0.3928676244381837,2
beth,0.40397298041865726,0.40397298041865726,1
amanda,0.4050344977533722,0.4908097001972039,22
autumn,0.4114525472766018,0.535060525810545,3
ill.,0.4254762974287282,0.4254762974287282,1
diane,0.42626035180523625,0.5736845068263907,21
mumbling,0.43741563426560953,0.43741563426560953,1
nikki,0.4438624358397085,0.5310550024798232,9
fiancee,0.44528539275600837,0.492592477472013,5
fundraiser,0.4511090755738785,0.4511090755738785,1
housekeepers,0.4634579501870507,0.5173023729867079,6
cynthia,0.4641377716602151,0.43512834608000267,3
natalie,0.47372641510769187,0.47372641510769187,2
blossom,0.4784164267654656,0.4771310734426957,9
misty,0.4813823488761424,0.49625467183042693,8
jessica,0.4897781730219212,0.49121292100472924,18
time.\n\ni,0.4922202812167868,0.4922202812167868,1
yada,0.5190350829732628,0.5190350829732628,2
lauren,0.530669648057605,0.60477347488826,9
ashley,0.5419258297521597,0.5793540196236945,17
mascara,0.5531978396435879,0.5511462886486044,3
